[MS Spectrum]
# of Peaks	662
Raw Spectrum	[7.115],(scan:[2847])
Background	No Background Spectrum
Base Peak	m/z 125.90 (Inten : 73,331)
m/z	Absolute Intensity	Relative Intensity
460.05	1815	2.48
462.05	3	0.00
463.10	365	0.50
463.60	68	0.09
465.40	2458	3.35
466.05	3162	4.31
466.90	471	0.64
468.20	3018	4.12
469.40	1447	1.97
470.00	111	0.15
470.45	78	0.11
471.45	70	0.10
472.55	2933	4.00
473.80	1815	2.48
475.30	242	0.33
476.05	6	0.01
476.90	475	0.65
478.85	23	0.03
479.85	35	0.05
481.85	4	0.01
482.90	411	0.56
483.85	41	0.06
487.75	199	0.27
488.75	29	0.04
489.85	409	0.56
490.20	1067	1.46
491.15	558	0.76
492.05	48	0.07
493.00	6758	9.22
493.75	1194	1.63
494.75	20	0.03
496.40	1446	1.97
497.15	471	0.64
497.65	202	0.28
498.35	982	1.34
501.15	1741	2.37
502.00	555	0.76
503.50	89	0.12
504.95	138	0.19
505.45	749	1.02
506.35	3	0.00
507.25	358	0.49
508.25	128	0.17
508.75	53	0.07
509.75	13	0.02
512.50	755	1.03
515.25	18	0.02
516.05	80	0.11
518.25	274	0.37
519.05	4674	6.37
521.30	3639	4.96
521.85	842	1.15
522.70	341	0.47
523.35	467	0.64
524.40	42	0.06
526.50	457	0.62
528.25	8	0.01
529.10	39	0.05
531.05	31	0.04
532.20	107	0.15
533.80	78	0.11
535.30	59	0.08
536.25	9	0.01
537.25	29	0.04
538.25	19	0.03
539.25	506	0.69
540.10	3966	5.41
541.55	581	0.79
542.50	495	0.68
543.55	9	0.01
544.55	5	0.01
545.55	5	0.01
546.45	196	0.27
547.45	11	0.02
550.45	109	0.15
551.45	50	0.07
552.45	11	0.02
553.45	14	0.02
555.45	17	0.02
556.40	3617	4.93
558.10	455	0.62
559.05	43	0.06
560.05	3	0.00
561.55	70	0.10
562.55	81	0.11
563.55	14	0.02
565.05	774	1.06
566.00	187	0.26
566.40	252	0.34
566.80	100	0.14
567.40	67	0.09
567.85	288	0.39
568.40	200	0.27
569.15	12	0.02
569.95	93	0.13
570.95	56	0.08
575.50	1074	1.46
576.05	291	0.40
576.85	413	0.56
577.55	418	0.57
578.55	11	0.02
579.55	77	0.11
580.50	259	0.35
581.05	98	0.13
581.50	191	0.26
582.05	797	1.09
582.85	5	0.01
583.65	439	0.60
585.05	4896	6.68
586.05	16	0.02
587.05	11	0.02
588.05	4	0.01
589.05	6	0.01
590.95	36	0.05
591.35	34	0.05
592.60	292	0.40
593.70	73	0.10
597.50	3668	5.00
600.05	85	0.12
600.60	512	0.70
601.55	31	0.04
602.35	587	0.80
603.10	266	0.36
604.05	4	0.01
607.65	354	0.48
608.75	117	0.16
610.10	1302	1.78
611.65	241	0.33
612.65	2585	3.53
613.35	547	0.75
616.30	457	0.62
617.65	115	0.16
618.35	54	0.07
619.10	90	0.12
619.60	27	0.04
621.15	36	0.05
622.15	15	0.02
625.65	60	0.08
626.65	23	0.03
627.55	12	0.02
628.40	1605	2.19
629.20	1832	2.50
631.60	639	0.87
632.70	506	0.69
634.70	770	1.05
635.75	28	0.04
636.90	121	0.17
637.35	25	0.03
639.35	20	0.03
641.35	17	0.02
642.25	6	0.01
643.10	213	0.29
643.95	3085	4.21
646.35	103	0.14
649.10	1570	2.14
651.05	12	0.02
653.05	4	0.01
654.05	16	0.02
655.45	99	0.14
656.05	14	0.02
656.85	203	0.28
657.50	1262	1.72
661.40	771	1.05
663.40	539	0.74
665.35	2	0.00
667.30	193	0.26
669.35	788	1.07
670.25	3	0.00
671.15	459	0.63
671.95	19	0.03
674.30	953	1.30
675.00	38	0.05
676.65	45	0.06
677.75	96	0.13
679.75	21	0.03
680.75	20	0.03
682.10	38	0.05
682.80	715	0.98
683.30	813	1.11
684.00	1810	2.47
686.20	796	1.09
686.70	79	0.11
689.75	16	0.02
690.90	341	0.47
692.95	3	0.00
694.45	565	0.77
696.10	74	0.10
697.25	814	1.11
698.80	825	1.13
699.85	66	0.09
700.80	950	1.30
701.55	2	0.00
702.40	527	0.72
703.00	131	0.18
705.40	1794	2.45
708.25	10	0.01
709.10	433	0.59
710.05	1	0.00
710.80	196	0.27
712.85	46	0.06
713.85	13	0.02
716.55	1235	1.68
717.10	37	0.05
718.60	147	0.20
719.55	14	0.02
721.45	15	0.02
722.40	30	0.04
722.90	824	1.12
724.10	2537	3.46
724.90	78	0.11
726.35	77	0.11
727.35	29	0.04
729.00	1872	2.55
730.05	33	0.05
731.80	76	0.10
732.35	1224	1.67
733.35	17	0.02
735.35	23	0.03
736.35	531	0.72
737.35	2	0.00
738.35	329	0.45
739.60	83	0.11
740.45	27	0.04
741.20	46	0.06
742.25	18	0.02
743.25	32	0.04
744.25	47	0.06
745.30	2179	2.97
746.15	5	0.01
746.95	85	0.12
748.90	757	1.03
752.25	899	1.23
753.25	61	0.08
754.15	16	0.02
754.95	120	0.16
756.05	442	0.60
757.55	1998	2.72
758.20	3663	5.00
759.05	4062	5.54
759.50	1163	1.59
762.30	168	0.23
765.10	217	0.30
766.40	103	0.14
767.50	39	0.05
767.80	34	0.05
769.75	28	0.04
770.50	3974	5.42
772.45	157	0.21
775.75	1200	1.64
777.15	6475	8.83
778.40	52	0.07
779.10	726	0.99
780.20	1565	2.13
780.90	38	0.05
781.65	170	0.23
782.40	4311	5.88
783.00	1987	2.71
784.20	8591	11.72
784.95	429	0.59
788.15	593	0.81
789.15	4	0.01
790.10	309	0.42
790.45	67	0.09
791.20	441	0.60
791.75	51	0.07
793.85	4	0.01
794.85	9	0.01
797.15	765	1.04
797.85	1425	1.94
Event	1
