[MS Spectrum]
# of Peaks	513
Raw Spectrum	[7.615],(scan:[3047])
Background	No Background Spectrum
Base Peak	m/z 400.75 (Inten : 58,677)
m/z	Absolute Intensity	Relative Intensity
622.55	77	0.13
624.05	81	0.14
625.05	9	0.02
625.95	2	0.00
626.75	127	0.22
628.60	1225	2.09
631.45	34	0.06
631.80	18	0.03
634.85	1317	2.24
638.65	93	0.16
640.65	7	0.01
641.70	42	0.07
642.05	53	0.09
644.10	1716	2.92
646.30	222	0.38
650.35	36	0.06
653.80	67	0.11
655.85	9	0.02
661.25	49	0.08
661.75	108	0.18
662.85	33	0.06
663.45	54	0.09
664.45	33	0.06
665.75	149	0.25
666.80	104	0.18
667.75	53	0.09
668.75	36	0.06
670.95	116	0.20
675.35	30	0.05
676.55	629	1.07
678.30	40	0.07
679.25	50	0.09
680.10	297	0.51
681.15	234	0.40
683.15	1	0.00
684.15	87	0.15
685.25	14	0.02
690.15	7	0.01
691.10	59	0.10
691.40	43	0.07
693.35	29	0.05
694.25	16	0.03
695.05	1951	3.32
697.05	3	0.01
699.05	17	0.03
700.85	109	0.19
703.70	106	0.18
704.75	9	0.02
706.15	97	0.17
708.15	9	0.02
709.15	28	0.05
711.15	4	0.01
712.15	23	0.04
713.15	3	0.01
714.10	44	0.07
715.15	15	0.03
717.15	23	0.04
719.35	1195	2.04
720.30	903	1.54
721.25	4	0.01
722.60	2333	3.98
723.55	12	0.02
724.55	59	0.10
728.30	281	0.48
729.20	74	0.13
731.30	371	0.63
732.25	488	0.83
733.95	1796	3.06
741.95	13	0.02
744.40	1036	1.77
745.35	2	0.00
747.05	43	0.07
747.95	4	0.01
748.95	9	0.02
752.20	474	0.81
753.00	60	0.10
755.95	19	0.03
756.95	26	0.04
757.95	7	0.01
758.95	1	0.00
760.75	2752	4.69
761.50	799	1.36
762.20	75	0.13
763.70	76	0.13
764.65	2	0.00
765.70	208	0.35
766.15	81	0.14
768.15	67	0.11
771.15	5	0.01
772.05	583	0.99
775.45	1056	1.80
777.45	38	0.06
779.15	727	1.24
780.10	822	1.40
781.15	6	0.01
782.80	118	0.20
784.15	283	0.48
785.40	407	0.69
786.50	6903	11.76
787.40	299	0.51
788.10	1338	2.28
789.15	554	0.94
790.05	32	0.05
791.00	256	0.44
791.95	59	0.10
796.95	1719	2.93
798.10	785	1.34
799.45	65	0.11
799.90	82	0.14
Event	1
