[MS Spectrum]
# of Peaks	690
Raw Spectrum	[7.655],(scan:[3063])
Background	No Background Spectrum
Base Peak	m/z 469.30 (Inten : 20,516)
m/z	Absolute Intensity	Relative Intensity
601.15	74	0.36
603.50	496	2.42
604.20	263	1.28
605.30	2100	10.24
606.30	1543	7.52
607.10	73	0.36
608.65	586	2.86
609.25	287	1.40
610.10	69	0.34
611.15	78	0.38
611.70	32	0.16
614.15	1765	8.60
615.00	578	2.82
616.45	101	0.49
616.90	992	4.84
617.40	72	0.35
618.55	1036	5.05
619.15	1168	5.69
620.70	190	0.93
621.95	341	1.66
624.25	1741	8.49
625.35	8752	42.66
626.25	95	0.46
629.40	1144	5.58
630.15	1942	9.47
630.65	178	0.87
631.30	372	1.81
632.65	291	1.42
633.85	55	0.27
634.25	41	0.20
634.90	205	1.00
636.60	147	0.72
636.90	134	0.65
637.90	224	1.09
638.95	9	0.04
639.95	28	0.14
641.15	50	0.24
641.60	32	0.16
644.75	2100	10.24
645.25	1124	5.48
645.75	602	2.93
646.90	62	0.30
647.45	151	0.74
648.45	53	0.26
649.45	3	0.01
651.70	410	2.00
653.30	812	3.96
654.25	3	0.01
655.25	34	0.17
656.20	1165	5.68
657.15	8	0.04
657.95	69	0.34
658.45	645	3.14
659.45	260	1.27
662.40	1763	8.59
663.35	2	0.01
664.35	76	0.37
665.45	3031	14.77
666.45	49	0.24
667.40	295	1.44
667.80	84	0.41
668.85	37	0.18
669.75	18	0.09
670.55	996	4.85
673.05	453	2.21
674.90	909	4.43
675.65	1120	5.46
677.15	240	1.17
679.15	15	0.07
682.15	29	0.14
683.50	60	0.29
684.50	55	0.27
685.05	398	1.94
686.05	93	0.45
687.10	1665	8.12
687.60	1454	7.09
688.25	122	0.59
689.75	1715	8.36
690.75	2539	12.38
691.25	708	3.45
691.80	1812	8.83
693.25	5128	25.00
693.95	113	0.55
694.85	488	2.38
695.75	48	0.23
696.55	5528	26.94
697.55	1278	6.23
698.60	248	1.21
699.15	462	2.25
700.15	20	0.10
701.05	3	0.01
701.90	77	0.38
702.25	40	0.19
703.50	756	3.68
704.50	105	0.51
705.45	2126	10.36
706.45	1	0.00
707.60	2939	14.33
708.75	2	0.01
709.75	14	0.07
710.75	31	0.15
713.25	123	0.60
713.70	174	0.85
714.90	96	0.47
715.55	1029	5.02
716.35	119	0.58
716.85	190	0.93
717.80	1381	6.73
718.40	844	4.11
720.45	37	0.18
721.60	504	2.46
722.45	13	0.06
723.35	69	0.34
723.70	30	0.15
724.20	67	0.33
725.85	135	0.66
726.65	2092	10.20
728.45	36	0.18
729.20	338	1.65
730.45	315	1.54
731.35	7	0.03
732.25	1525	7.43
734.15	1171	5.71
734.75	130	0.63
736.15	72	0.35
736.90	54	0.26
737.35	55	0.27
739.15	1076	5.24
740.55	133	0.65
740.90	65	0.32
743.95	1	0.00
744.90	1081	5.27
745.35	507	2.47
745.75	49	0.24
746.10	29	0.14
747.20	841	4.10
747.90	58	0.28
748.55	1198	5.84
749.45	826	4.03
750.35	142	0.69
752.35	14	0.07
753.35	8	0.04
754.35	3	0.01
755.65	957	4.66
756.10	1442	7.03
757.70	907	4.42
758.45	982	4.79
760.30	404	1.97
761.25	3	0.01
762.20	805	3.92
763.85	1352	6.59
764.55	94	0.46
765.35	826	4.03
765.70	544	2.65
766.65	122	0.59
767.05	102	0.50
767.55	1322	6.44
768.45	1	0.00
769.25	153	0.75
770.20	80	0.39
772.30	105	0.51
773.35	2548	12.42
774.15	1	0.00
774.95	989	4.82
775.40	29	0.14
775.95	1312	6.40
776.25	181	0.88
777.15	329	1.60
777.55	192	0.94
778.45	1875	9.14
779.60	4398	21.44
780.45	20	0.10
781.25	2256	11.00
781.75	4509	21.98
782.45	15130	73.75
783.70	4108	20.02
784.20	890	4.34
784.65	2350	11.45
785.30	1351	6.59
786.55	3071	14.97
787.25	7090	34.56
788.65	1249	6.09
791.45	6	0.03
792.20	119	0.58
795.75	488	2.38
797.75	8	0.04
798.75	8	0.04
Event	1
