[MS Spectrum]
# of Peaks	683
Raw Spectrum	[9.295],(scan:[3719])
Background	No Background Spectrum
Base Peak	m/z 760.40 (Inten : 31,625)
m/z	Absolute Intensity	Relative Intensity
636.85	74	0.23
637.85	8	0.03
639.85	10	0.03
643.25	198	0.63
644.25	1193	3.77
644.75	68	0.22
645.75	17	0.05
646.75	35	0.11
647.75	16	0.05
648.65	16	0.05
649.35	335	1.06
650.20	1271	4.02
651.15	14	0.04
652.15	20	0.06
653.25	1180	3.73
654.70	884	2.80
656.30	580	1.83
656.80	480	1.52
658.05	131	0.41
658.40	310	0.98
659.55	76	0.24
660.35	5	0.02
661.20	114	0.36
662.30	419	1.32
663.25	759	2.40
663.80	562	1.78
664.80	172	0.54
665.40	86	0.27
666.30	471	1.49
667.40	93	0.29
668.05	109	0.34
668.45	39	0.12
669.45	19	0.06
671.30	307	0.97
672.25	67	0.21
673.25	28	0.09
674.25	28	0.09
675.15	279	0.88
676.15	10	0.03
677.15	13	0.04
678.50	338	1.07
679.15	267	0.84
680.00	45	0.14
682.10	86	0.27
683.15	1	0.00
684.15	37	0.12
686.15	8	0.03
687.15	9	0.03
688.05	196	0.62
688.60	166	0.52
689.00	175	0.55
690.30	5053	15.98
691.35	2037	6.44
691.80	1578	4.99
692.30	1511	4.78
692.80	959	3.03
693.75	296	0.94
694.25	491	1.55
695.20	474	1.50
695.60	182	0.58
696.30	38	0.12
697.15	750	2.37
698.40	51	0.16
700.00	251	0.79
701.05	93	0.29
701.55	534	1.69
703.00	679	2.15
704.20	249	0.79
704.60	83	0.26
705.35	153	0.48
707.35	14	0.04
708.50	637	2.01
709.00	546	1.73
709.50	677	2.14
709.90	380	1.20
710.80	4144	13.10
711.95	6556	20.73
713.25	6907	21.84
714.05	966	3.05
714.90	1408	4.45
716.30	3683	11.65
717.35	3792	11.99
718.45	171	0.54
719.45	478	1.51
720.35	231	0.73
720.85	53	0.17
722.25	1739	5.50
724.35	2601	8.22
725.30	1383	4.37
726.15	2061	6.52
726.90	661	2.09
727.85	1349	4.27
728.60	477	1.51
729.80	372	1.18
730.30	213	0.67
731.25	40	0.13
732.10	1136	3.59
733.05	8	0.03
734.35	7103	22.46
735.40	2328	7.36
736.00	1099	3.48
736.65	245	0.77
737.10	256	0.81
737.90	1233	3.90
738.50	1879	5.94
739.55	788	2.49
740.30	1422	4.50
741.90	125	0.40
742.45	278	0.88
744.05	82	0.26
744.40	258	0.82
744.90	221	0.70
745.75	30	0.09
746.55	861	2.72
747.40	1073	3.39
748.35	28	0.09
749.75	608	1.92
750.75	73	0.23
752.30	772	2.44
752.70	315	1.00
754.05	568	1.80
754.50	129	0.41
754.85	186	0.59
756.20	703	2.22
757.50	2979	9.42
758.40	2207	6.98
759.25	854	2.70
760.40	31625	100.00
761.45	17801	56.29
762.30	3897	12.32
763.70	1455	4.60
764.50	651	2.06
765.55	376	1.19
766.30	657	2.08
767.45	709	2.24
768.20	319	1.01
768.70	761	2.41
769.30	254	0.80
770.35	160	0.51
771.35	13	0.04
772.35	378	1.20
773.35	41	0.13
774.45	195	0.62
775.05	475	1.50
775.85	309	0.98
776.65	4	0.01
777.50	553	1.75
778.50	404	1.28
779.45	28	0.09
780.40	761	2.41
780.95	588	1.86
782.25	1995	6.31
783.20	1974	6.24
783.85	685	2.17
784.60	252	0.80
785.70	1259	3.98
786.50	964	3.05
787.45	2528	7.99
788.40	1380	4.36
789.00	468	1.48
789.65	130	0.41
790.20	333	1.05
792.15	116	0.37
793.05	15	0.05
794.00	427	1.35
794.40	258	0.82
794.95	210	0.66
795.50	520	1.64
796.20	529	1.67
797.35	1125	3.56
798.15	151	0.48
798.70	705	2.23
799.65	114	0.36
Event	1
