[MS Spectrum]
# of Peaks	826
Raw Spectrum	[9.297],(scan:[3720])
Background	No Background Spectrum
Base Peak	m/z 52.05 (Inten : 39,096)
m/z	Absolute Intensity	Relative Intensity
593.05	9	0.02
594.05	12	0.03
595.05	59	0.15
596.05	44	0.11
597.05	6	0.02
598.05	49	0.13
599.05	3	0.01
600.05	3	0.01
601.30	798	2.04
601.80	48	0.12
602.30	95	0.24
602.80	52	0.13
604.10	148	0.38
605.00	74	0.19
605.95	7	0.02
606.80	394	1.01
608.85	7	0.02
609.85	3	0.01
611.30	53	0.14
611.75	68	0.17
612.85	75	0.19
613.65	8	0.02
614.50	48	0.12
614.90	44	0.11
617.95	14	0.04
618.95	11	0.03
619.95	13	0.03
620.95	16	0.04
621.95	34	0.09
623.95	41	0.10
625.35	129	0.33
626.45	20	0.05
627.70	107	0.27
628.65	8	0.02
629.65	82	0.21
630.65	69	0.18
631.65	37	0.09
632.65	46	0.12
633.65	3	0.01
634.65	16	0.04
635.65	21	0.05
637.10	132	0.34
638.05	66	0.17
639.05	17	0.04
640.05	76	0.19
641.05	30	0.08
641.95	54	0.14
642.80	76	0.19
643.75	31	0.08
644.75	30	0.08
645.75	24	0.06
646.75	23	0.06
648.10	90	0.23
649.05	68	0.17
650.05	60	0.15
651.80	73	0.19
652.65	5235	13.39
653.65	32	0.08
654.65	9	0.02
655.65	21	0.05
656.65	32	0.08
657.65	47	0.12
658.65	62	0.16
660.20	55	0.14
660.70	61	0.16
661.20	69	0.18
662.25	11	0.03
663.25	25	0.06
664.05	17	0.04
664.90	68	0.17
665.85	29	0.07
666.85	12	0.03
668.05	76	0.19
668.55	83	0.21
670.15	102	0.26
671.20	120	0.31
672.15	7	0.02
673.30	117	0.30
674.25	4	0.01
675.95	121	0.31
677.75	9	0.02
678.60	135	0.35
679.05	112	0.29
680.85	57	0.15
681.65	108	0.28
682.25	115	0.29
683.30	95	0.24
684.05	15	0.04
684.85	141	0.36
685.25	112	0.29
685.90	3348	8.56
686.40	115	0.29
688.30	1562	4.00
689.25	28	0.07
690.10	1620	4.14
691.15	37	0.09
692.15	99	0.25
693.15	30	0.08
694.15	3	0.01
695.15	9	0.02
696.15	12	0.03
697.15	4	0.01
698.55	82	0.21
699.05	82	0.21
700.05	102	0.26
701.05	58	0.15
702.45	3007	7.69
703.45	1	0.00
704.45	61	0.16
705.45	16	0.04
706.45	89	0.23
707.45	44	0.11
708.45	28	0.07
709.45	25	0.06
710.45	54	0.14
711.45	5	0.01
712.45	12	0.03
713.45	34	0.09
714.50	5170	13.22
715.60	1937	4.95
716.55	46	0.12
718.50	49	0.13
719.65	195	0.50
720.65	33	0.08
721.65	6	0.02
722.65	70	0.18
723.45	36	0.09
724.20	554	1.42
725.25	73	0.19
726.45	59	0.15
726.90	122	0.31
727.45	118	0.30
728.45	45	0.12
729.25	8	0.02
730.05	129	0.33
731.05	37	0.09
733.05	13	0.03
735.05	23	0.06
736.05	17	0.04
737.40	96	0.25
738.35	1	0.00
739.35	63	0.16
740.35	58	0.15
741.25	8	0.02
742.10	127	0.32
742.70	58	0.15
743.55	78	0.20
744.35	2534	6.48
745.25	126	0.32
746.05	15	0.04
746.90	76	0.19
747.35	101	0.26
747.85	52	0.13
748.65	21	0.05
749.50	109	0.28
750.45	11	0.03
751.45	56	0.14
752.45	47	0.12
753.45	33	0.08
754.45	5	0.01
755.45	11	0.03
756.85	106	0.27
757.85	26	0.07
758.90	81	0.21
759.50	70	0.18
759.95	114	0.29
760.95	8	0.02
762.95	22	0.06
764.20	27	0.07
764.65	75	0.19
765.75	49	0.13
766.20	69	0.18
768.05	4	0.01
768.95	66	0.17
770.45	100	0.26
772.40	34	0.09
773.45	86	0.22
774.35	11	0.03
775.20	1715	4.39
775.85	933	2.39
776.75	88	0.23
778.20	111	0.28
779.25	15	0.04
780.55	2071	5.30
782.65	97	0.25
783.65	76	0.19
784.15	60	0.15
785.95	13	0.03
786.80	46	0.12
787.25	764	1.95
788.30	1679	4.29
789.25	542	1.39
790.35	1851	4.73
791.35	43	0.11
792.65	82	0.21
793.05	41	0.10
794.05	43	0.11
794.95	18	0.05
795.80	36	0.09
796.30	88	0.23
796.80	86	0.22
797.75	10	0.03
798.70	1302	3.33
799.30	44	0.11
Event	2
