[MS Spectrum]
# of Peaks	534
Raw Spectrum	[7.990],(scan:[3197])
Background	No Background Spectrum
Base Peak	m/z 282.05 (Inten : 111,434)
m/z	Absolute Intensity	Relative Intensity
655.25	37	0.03
658.25	12	0.01
660.25	2	0.00
661.15	31	0.03
662.10	128	0.11
663.20	188	0.17
664.05	688	0.62
666.05	24	0.02
667.05	8	0.01
669.05	13	0.01
670.05	12	0.01
671.05	16	0.01
672.05	12	0.01
673.05	24	0.02
677.20	56	0.05
678.65	54	0.05
679.65	11	0.01
680.65	4	0.00
684.65	3	0.00
685.65	77	0.07
688.70	68	0.06
692.10	46	0.04
694.70	44	0.04
697.60	143	0.13
698.75	5	0.00
700.65	350	0.31
701.55	2	0.00
703.15	326	0.29
703.60	62	0.06
704.65	110	0.10
705.30	363	0.33
706.60	47	0.04
708.50	82	0.07
709.45	74	0.07
711.50	166	0.15
712.55	57	0.05
715.55	1	0.00
716.90	353	0.32
719.85	18	0.02
724.50	103	0.09
725.90	195	0.17
726.80	625	0.56
727.75	5	0.00
729.30	87	0.08
730.35	10	0.01
731.35	14	0.01
732.35	12	0.01
733.35	14	0.01
734.35	3	0.00
737.35	1	0.00
739.35	19	0.02
741.55	403	0.36
742.55	16	0.01
744.10	808	0.73
746.15	8	0.01
747.15	30	0.03
748.45	844	0.76
751.40	360	0.32
753.35	4	0.00
754.25	84	0.08
756.65	234	0.21
757.25	189	0.17
758.50	1117	1.00
759.20	637	0.57
761.25	5	0.00
762.25	390	0.35
763.15	4	0.00
764.15	41	0.04
765.15	40	0.04
766.50	601	0.54
767.85	74	0.07
769.90	89	0.08
770.95	28	0.03
772.00	106	0.10
772.45	230	0.21
773.45	7	0.01
775.45	11	0.01
777.45	7	0.01
778.95	105	0.09
780.20	75	0.07
782.25	3	0.00
783.25	28	0.03
784.80	348	0.31
785.65	29	0.03
786.45	1283	1.15
787.35	180	0.16
787.75	87	0.08
788.75	5	0.00
789.75	1	0.00
791.00	149	0.13
792.35	393	0.35
793.65	252	0.23
795.35	841	0.75
797.25	49	0.04
798.45	405	0.36
799.45	5	0.00
Event	1
