[MS Spectrum]
# of Peaks	1930
Raw Spectrum	[6.687],(scan:[2007])
Background	No Background Spectrum
Base Peak	m/z 119.90 (Inten : 316,950)
m/z	Absolute Intensity	Relative Intensity
487.50	306	0.10
488.50	229	0.07
489.60	222	0.07
490.20	668	0.21
490.75	394	0.12
491.65	140	0.04
492.20	837	0.26
492.95	284	0.09
493.85	527	0.17
495.05	207	0.07
496.00	485	0.15
497.00	514	0.16
498.10	232	0.07
499.20	401	0.13
500.40	317	0.10
501.40	161	0.05
502.40	209	0.07
503.50	420	0.13
504.50	362	0.11
505.65	186	0.06
506.70	269	0.08
507.85	300	0.09
508.85	441	0.14
510.00	104	0.03
511.50	1211	0.38
512.10	292	0.09
513.15	125	0.04
514.25	611	0.19
515.30	127	0.04
516.05	1123	0.35
517.30	1711	0.54
518.45	460	0.15
519.55	447	0.14
520.65	423	0.13
521.70	300	0.09
522.85	291	0.09
523.80	326	0.10
524.80	45	0.01
526.00	216	0.07
527.00	469	0.15
528.10	135	0.04
529.10	466	0.15
530.20	320	0.10
531.30	346	0.11
532.35	379	0.12
533.45	297	0.09
534.40	165	0.05
535.45	1003	0.32
536.75	70	0.02
537.80	225	0.07
538.85	291	0.09
539.95	290	0.09
541.15	119	0.04
542.05	322	0.10
543.15	246	0.08
544.10	313	0.10
545.25	240	0.08
546.35	187	0.06
547.40	306	0.10
548.40	78	0.02
549.55	439	0.14
550.80	692	0.22
551.60	304	0.10
552.90	1228	0.39
553.80	329	0.10
555.00	253	0.08
555.95	389	0.12
557.10	356	0.11
558.10	384	0.12
559.15	655	0.21
560.25	334	0.11
560.70	811	0.26
561.35	662	0.21
562.30	203	0.06
563.40	258	0.08
564.55	1696	0.54
565.60	320	0.10
566.70	192	0.06
567.80	426	0.13
568.80	515	0.16
569.90	272	0.09
571.00	576	0.18
571.95	548	0.17
573.35	1090	0.34
574.15	381	0.12
575.25	497	0.16
576.25	390	0.12
577.40	271	0.09
578.40	405	0.13
579.45	402	0.13
580.60	457	0.14
581.60	240	0.08
582.70	245	0.08
583.75	481	0.15
584.85	362	0.11
585.90	502	0.16
587.00	308	0.10
587.85	939	0.30
589.15	341	0.11
590.20	228	0.07
591.20	295	0.09
592.25	367	0.12
593.40	426	0.13
594.50	269	0.08
595.55	310	0.10
596.55	297	0.09
597.65	370	0.12
598.75	594	0.19
599.80	139	0.04
600.95	496	0.16
601.95	529	0.17
603.05	293	0.09
