[MS Spectrum]
# of Peaks	594
Raw Spectrum	[6.847],(scan:[2740])
Background	No Background Spectrum
Base Peak	m/z 56.40 (Inten : 47,497)
m/z	Absolute Intensity	Relative Intensity
663.70	14	0.03
664.30	1022	2.15
666.80	248	0.52
668.75	179	0.38
669.60	43	0.09
670.00	97	0.20
671.05	42	0.09
673.05	38	0.08
674.05	1088	2.29
674.45	852	1.79
675.35	743	1.56
680.35	46	0.10
683.35	27	0.06
684.70	75	0.16
685.45	391	0.82
686.20	5338	11.24
686.85	867	1.83
687.40	506	1.07
688.50	27849	58.63
689.35	23663	49.82
690.35	4538	9.55
691.95	670	1.41
694.25	1982	4.17
695.50	905	1.91
696.45	16	0.03
698.00	2232	4.70
698.95	7	0.01
702.95	2	0.00
704.25	1593	3.35
706.25	2	0.00
708.65	120	0.25
710.65	41	0.09
711.65	12	0.03
712.65	4	0.01
713.55	249	0.52
714.30	6246	13.15
715.40	4633	9.75
716.30	2393	5.04
716.90	3073	6.47
717.95	1088	2.29
719.05	839	1.77
719.60	442	0.93
720.55	3	0.01
721.55	726	1.53
722.25	90	0.19
723.25	9	0.02
725.25	2	0.00
726.70	77	0.16
727.65	1	0.00
728.65	5	0.01
731.50	110	0.23
732.45	9	0.02
733.30	353	0.74
735.25	15	0.03
737.25	5	0.01
739.25	58	0.12
740.25	29	0.06
741.25	18	0.04
742.80	1938	4.08
743.85	435	0.92
744.85	5	0.01
746.55	330	0.69
749.55	33	0.07
750.55	10	0.02
751.55	17	0.04
752.45	489	1.03
753.45	6	0.01
755.50	3484	7.34
757.45	4	0.01
758.45	2	0.00
759.95	82	0.17
760.85	13	0.03
761.60	56	0.12
762.65	23	0.05
764.40	109	0.23
767.90	829	1.75
771.85	17	0.04
773.65	17	0.04
774.50	2501	5.27
775.15	751	1.58
776.15	6	0.01
778.15	37	0.08
779.45	576	1.21
780.85	49	0.10
781.85	8	0.02
783.85	7	0.01
785.85	4	0.01
787.40	904	1.90
788.05	543	1.14
788.50	658	1.39
789.20	1162	2.45
790.00	42	0.09
791.65	50	0.11
795.65	46	0.10
797.65	21	0.04
798.65	37	0.08
799.55	22	0.05
Event	2
