[MS Spectrum]
# of Peaks	699
Raw Spectrum	[7.037],(scan:[2816])
Background	No Background Spectrum
Base Peak	m/z 190.45 (Inten : 50,540)
m/z	Absolute Intensity	Relative Intensity
478.65	49	0.10
479.75	3	0.01
481.15	531	1.05
482.15	8	0.02
485.35	52	0.10
486.25	1	0.00
488.40	33	0.07
489.00	1196	2.37
490.45	499	0.99
491.25	63	0.12
491.70	561	1.11
492.45	52	0.10
497.25	2953	5.84
498.25	15	0.03
499.25	1	0.00
500.60	799	1.58
501.45	1	0.00
502.45	45	0.09
505.75	816	1.61
506.75	8	0.02
507.75	1	0.00
509.05	2728	5.40
511.75	125	0.25
513.20	889	1.76
514.15	4	0.01
515.15	5	0.01
518.05	406	0.80
519.20	959	1.90
520.85	4019	7.95
523.15	1178	2.33
525.85	49	0.10
526.75	4	0.01
529.05	94	0.19
529.60	784	1.55
530.90	1360	2.69
531.30	648	1.28
532.10	1196	2.37
534.05	14	0.03
535.00	2932	5.80
535.95	117	0.23
536.85	15	0.03
537.85	2	0.00
539.40	568	1.12
541.35	3	0.01
542.35	20	0.04
544.10	551	1.09
544.65	1059	2.10
546.20	56	0.11
546.50	41	0.08
547.35	9	0.02
548.20	61	0.12
549.15	5	0.01
550.05	1	0.00
550.85	1190	2.35
552.85	66	0.13
553.85	10	0.02
555.85	19	0.04
557.15	286	0.57
557.85	5	0.01
558.65	1963	3.88
559.30	1501	2.97
560.35	7	0.01
565.25	17	0.03
566.20	85	0.17
566.95	12	0.02
567.80	54	0.11
568.65	16	0.03
569.45	61	0.12
570.45	43	0.09
571.45	24	0.05
572.45	5	0.01
573.35	1156	2.29
574.35	59	0.12
576.35	39	0.08
577.35	5	0.01
578.35	11	0.02
579.35	8	0.02
580.35	1	0.00
581.60	97	0.19
582.55	34	0.07
584.55	5	0.01
585.55	2	0.00
586.55	1	0.00
587.55	4	0.01
588.55	4	0.01
589.55	8	0.02
590.55	80	0.16
591.55	63	0.12
595.35	4	0.01
596.15	177	0.35
597.00	1881	3.72
598.05	1	0.00
599.05	1	0.00
601.05	1968	3.89
602.05	205	0.41
603.05	19	0.04
604.10	323	0.64
604.80	627	1.24
607.10	2044	4.04
609.05	104	0.21
610.05	6	0.01
611.35	802	1.59
612.35	1706	3.38
614.35	3	0.01
616.35	6	0.01
618.60	1328	2.63
620.55	53	0.10
621.55	2	0.00
623.15	4448	8.80
624.15	25	0.05
625.05	7	0.01
626.00	80	0.16
627.30	694	1.37
628.25	36	0.07
629.25	1	0.00
630.25	25	0.05
631.05	2	0.00
