[MS Spectrum]
# of Peaks	616
Raw Spectrum	[6.575],(scan:[2631])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 1,158,014)
m/z	Absolute Intensity	Relative Intensity
639.40	538	0.05
640.10	228	0.02
641.05	38	0.00
642.05	15	0.00
643.05	299	0.03
643.95	8	0.00
644.85	566	0.05
645.45	320	0.03
646.05	709	0.06
646.55	278	0.02
647.55	7	0.00
650.45	86	0.01
651.40	351	0.03
653.35	8	0.00
654.30	2366	0.20
654.90	2853	0.25
656.30	359	0.03
659.20	217	0.02
660.15	11	0.00
661.35	149	0.01
662.35	6507	0.56
663.60	3752	0.32
664.15	4115	0.36
665.25	3094	0.27
667.65	618	0.05
669.75	7	0.00
670.70	28	0.00
671.05	79	0.01
671.85	7	0.00
672.65	663	0.06
674.05	106	0.01
675.55	1098	0.09
676.55	282	0.02
677.10	365	0.03
678.35	1751	0.15
679.40	1567	0.14
679.85	533	0.05
682.10	129	0.01
682.45	293	0.03
683.05	862	0.07
684.10	686	0.06
685.30	365	0.03
686.30	149	0.01
687.00	102	0.01
687.75	570	0.05
688.55	1507	0.13
689.55	2580	0.22
690.30	25823	2.23
691.25	5308	0.46
691.85	708	0.06
692.40	881	0.08
694.80	3578	0.31
695.65	476	0.04
696.65	43	0.00
698.60	177	0.02
701.65	14	0.00
703.00	570	0.05
704.35	285	0.02
706.20	460	0.04
708.35	2814	0.24
709.40	528	0.05
710.30	435	0.04
711.50	1755	0.15
712.10	860	0.07
712.85	315	0.03
715.10	765	0.07
716.35	7438	0.64
717.40	3608	0.31
718.25	2952	0.25
719.85	590	0.05
721.55	819	0.07
722.40	67	0.01
723.90	1206	0.10
726.65	220	0.02
729.55	3	0.00
730.30	360	0.03
731.15	233	0.02
733.95	950	0.08
734.50	904	0.08
735.05	446	0.04
735.70	1591	0.14
736.10	588	0.05
738.50	86	0.01
739.50	76	0.01
740.30	351	0.03
742.35	277	0.02
743.15	236	0.02
743.45	105	0.01
744.40	558	0.05
747.60	72	0.01
751.00	723	0.06
752.25	99	0.01
752.55	230	0.02
753.55	11	0.00
756.30	174	0.02
758.40	168	0.01
759.35	873	0.08
760.35	1	0.00
761.95	257	0.02
764.00	368	0.03
765.95	1	0.00
767.95	15	0.00
768.95	20	0.00
770.95	57	0.00
771.85	6	0.00
772.75	446	0.04
774.75	39	0.00
776.75	4	0.00
779.20	192	0.02
781.15	2	0.00
783.55	88	0.01
784.60	498	0.04
785.55	5	0.00
786.55	5	0.00
788.30	1632	0.14
789.10	299	0.03
789.90	87	0.01
790.80	134	0.01
791.55	472	0.04
792.45	223	0.02
793.45	2	0.00
794.45	9	0.00
795.50	1352	0.12
797.55	27	0.00
Event	1
