[MS Spectrum]
# of Peaks	508
Raw Spectrum	[6.340],(scan:[2537])
Background	No Background Spectrum
Base Peak	m/z 83.05 (Inten : 220,758)
m/z	Absolute Intensity	Relative Intensity
602.95	570	0.26
606.95	7	0.00
608.55	109	0.05
613.55	37	0.02
614.55	20	0.01
617.20	76	0.03
620.40	365	0.17
621.10	1612	0.73
621.95	1814	0.82
623.95	25	0.01
624.95	3	0.00
625.95	22	0.01
627.05	50	0.02
628.25	355	0.16
635.55	322	0.15
636.55	1	0.00
640.25	831	0.38
641.25	38	0.02
642.15	9	0.00
643.10	747	0.34
643.95	15	0.01
644.90	88	0.04
645.35	41	0.02
647.10	143	0.06
649.05	4	0.00
650.05	11	0.00
651.05	1	0.00
652.05	30	0.01
654.05	30	0.01
657.35	323	0.15
658.35	1	0.00
659.35	7	0.00
660.65	340	0.15
661.65	4	0.00
663.15	134	0.06
663.75	152	0.07
664.75	19	0.01
669.90	211	0.10
670.35	478	0.22
672.85	380	0.17
675.05	94	0.04
677.15	337	0.15
678.15	4261	1.93
679.00	2627	1.19
680.10	727	0.33
682.05	18	0.01
683.00	550	0.25
683.90	50	0.02
690.85	1224	0.55
691.50	127	0.06
692.55	168	0.08
694.10	652	0.30
695.45	574	0.26
696.10	835	0.38
697.30	285	0.13
698.35	1	0.00
700.35	12	0.01
703.35	49	0.02
704.65	418	0.19
708.25	787	0.36
711.25	37	0.02
713.20	574	0.26
716.95	29	0.01
717.75	102	0.05
719.75	20	0.01
724.70	510	0.23
726.75	12	0.01
727.75	733	0.33
734.65	415	0.19
735.65	2	0.00
737.65	13	0.01
739.65	9	0.00
740.65	6	0.00
742.65	13	0.01
745.65	15	0.01
746.65	3	0.00
748.65	18	0.01
752.65	20	0.01
754.65	4	0.00
755.80	105	0.05
756.50	117	0.05
758.10	1154	0.52
760.65	88	0.04
761.65	6	0.00
762.65	1	0.00
763.65	51	0.02
764.65	33	0.01
766.65	24	0.01
767.65	5	0.00
768.65	2	0.00
773.65	4	0.00
774.65	9	0.00
775.65	14	0.01
776.65	40	0.02
778.15	250	0.11
780.15	10	0.00
783.20	440	0.20
784.15	9	0.00
787.15	17	0.01
788.15	13	0.01
789.15	41	0.02
790.15	4	0.00
792.15	18	0.01
793.65	575	0.26
794.65	41	0.02
796.65	42	0.02
797.65	76	0.03
799.10	452	0.20
Event	1
