[MS Spectrum]
# of Peaks	650
Raw Spectrum	[6.392],(scan:[2558])
Background	No Background Spectrum
Base Peak	m/z 55.55 (Inten : 43,362)
m/z	Absolute Intensity	Relative Intensity
518.25	34	0.08
522.25	9	0.02
523.20	206	0.48
525.15	35	0.08
526.15	24	0.06
527.15	6	0.01
529.85	2165	4.99
531.05	44	0.10
532.05	27	0.06
533.05	8	0.02
534.05	8	0.02
538.05	95	0.22
539.05	24	0.06
540.05	17	0.04
541.05	10	0.02
542.05	6	0.01
544.05	4	0.01
545.85	6	0.01
546.70	173	0.40
547.65	45	0.10
548.65	5	0.01
549.65	5	0.01
550.65	32	0.07
555.35	75	0.17
558.35	9	0.02
559.70	21	0.05
560.75	24	0.06
562.75	25	0.06
564.75	2	0.00
565.75	29	0.07
567.70	94	0.22
568.80	148	0.34
569.65	5	0.01
570.45	1015	2.34
570.95	1231	2.84
571.80	856	1.97
573.20	29	0.07
573.60	62	0.14
574.65	149	0.34
575.75	42	0.10
577.75	25	0.06
578.75	3	0.01
581.75	57	0.13
583.30	71	0.16
585.25	25	0.06
586.25	11	0.03
588.25	46	0.11
589.25	5	0.01
590.25	4	0.01
591.15	3	0.01
591.95	90	0.21
592.95	31	0.07
593.95	48	0.11
594.95	4	0.01
595.95	8	0.02
596.95	19	0.04
598.95	56	0.13
600.95	42	0.10
601.95	15	0.03
602.95	37	0.09
605.95	16	0.04
607.40	138	0.32
608.25	308	0.71
608.60	102	0.24
609.65	9	0.02
610.65	1	0.00
612.45	111	0.26
613.45	1	0.00
615.10	2325	5.36
616.15	54	0.12
618.15	41	0.09
620.15	10	0.02
622.70	59	0.14
623.15	51	0.12
624.15	112	0.26
625.15	34	0.08
626.15	1	0.00
627.15	2	0.00
628.15	19	0.04
629.15	50	0.12
630.15	37	0.09
631.00	2372	5.47
632.05	12	0.03
634.50	71	0.16
635.00	644	1.49
636.95	11	0.03
637.95	5	0.01
638.95	55	0.13
639.95	16	0.04
641.05	73	0.17
642.05	105	0.24
643.05	8	0.02
644.05	49	0.11
645.05	1	0.00
647.05	16	0.04
648.05	44	0.10
649.85	3	0.01
650.70	90	0.21
652.65	39	0.09
653.65	21	0.05
655.65	2	0.00
656.65	1	0.00
657.65	71	0.16
658.65	37	0.09
659.65	37	0.09
660.65	8	0.02
661.65	34	0.08
662.70	201	0.46
663.65	27	0.06
664.65	9	0.02
665.65	29	0.07
666.65	11	0.03
668.65	2	0.00
669.65	56	0.13
673.65	17	0.04
677.70	73	0.17
679.35	127	0.29
682.35	3	0.01
683.35	6	0.01
684.35	4	0.01
685.35	2	0.00
686.35	55	0.13
688.10	1854	4.28
690.50	70	0.16
691.55	33	0.08
692.45	11	0.03
693.40	124	0.29
695.35	28	0.06
697.35	30	0.07
698.35	5	0.01
699.25	22	0.05
700.00	214	0.49
702.05	9	0.02
704.05	7	0.02
707.05	4	0.01
708.05	2	0.00
711.05	6	0.01
712.05	2	0.00
714.05	5	0.01
717.05	48	0.11
719.50	8341	19.24
720.25	50	0.12
720.70	154	0.36
721.75	56	0.13
723.70	472	1.09
725.25	3712	8.56
726.10	63	0.15
727.05	16	0.04
727.90	124	0.29
728.20	91	0.21
729.15	26	0.06
730.15	13	0.03
733.15	3	0.01
734.75	3536	8.15
735.30	51	0.12
736.25	13	0.03
739.25	11	0.03
740.10	40	0.09
741.15	17	0.04
742.40	1556	3.59
744.45	12	0.03
745.45	13	0.03
747.40	1540	3.55
748.45	5	0.01
751.85	176	0.41
752.65	1	0.00
753.50	70	0.16
754.80	130	0.30
756.65	63	0.15
757.70	150	0.35
758.65	34	0.08
760.65	17	0.04
761.65	67	0.15
762.65	5	0.01
763.65	26	0.06
764.65	55	0.13
765.65	3	0.01
766.45	45	0.10
767.25	1097	2.53
774.05	151	0.35
774.95	51	0.12
776.95	11	0.03
778.95	38	0.09
781.95	17	0.04
784.85	23	0.05
785.80	60	0.14
788.00	34	0.08
790.95	8	0.02
791.75	30	0.07
792.60	1833	4.23
793.55	2	0.00
796.55	3	0.01
798.50	466	1.07
799.35	8	0.02
Event	2
