[MS Spectrum]
# of Peaks	590
Raw Spectrum	[9.085],(scan:[3635])
Background	No Background Spectrum
Base Peak	m/z 399.80 (Inten : 15,897)
m/z	Absolute Intensity	Relative Intensity
733.20	300	1.89
734.25	342	2.15
735.20	1314	8.27
736.10	1178	7.41
738.35	1039	6.54
738.85	1394	8.77
739.55	1059	6.66
740.60	303	1.91
743.65	964	6.06
744.45	296	1.86
745.30	383	2.41
746.20	630	3.96
747.50	281	1.77
749.30	658	4.14
750.95	24	0.15
751.55	450	2.83
754.20	153	0.96
755.00	253	1.59
755.95	429	2.70
756.45	885	5.57
757.35	584	3.67
758.35	3236	20.36
759.55	1102	6.93
761.05	1003	6.31
762.30	1111	6.99
763.35	1231	7.74
764.05	52	0.33
764.45	114	0.72
765.35	1937	12.18
766.80	1835	11.54
768.25	2118	13.32
769.50	1173	7.38
770.40	386	2.43
771.00	383	2.41
772.30	1077	6.77
773.25	4	0.03
774.20	637	4.01
774.55	172	1.08
778.55	1	0.01
779.55	111	0.70
780.40	325	2.04
781.45	353	2.22
782.35	19	0.12
783.20	1354	8.52
784.40	123	0.77
785.55	88	0.55
786.60	45	0.28
787.80	27	0.17
789.80	39	0.25
790.30	1198	7.54
791.70	128	0.81
792.85	2	0.01
794.90	1151	7.24
795.85	40	0.25
796.95	241	1.52
798.35	795	5.00
799.95	148	0.93
Event	1
