[MS Spectrum]
# of Peaks	789
Raw Spectrum	[9.040],(scan:[3617])
Background	No Background Spectrum
Base Peak	m/z 353.90 (Inten : 31,251)
m/z	Absolute Intensity	Relative Intensity
547.15	383	1.23
548.45	2681	8.58
548.90	613	1.96
549.60	1899	6.08
550.20	2463	7.88
551.20	656	2.10
551.60	1098	3.51
552.20	189	0.60
553.15	8	0.03
554.05	986	3.16
554.70	451	1.44
555.55	1476	4.72
556.40	5043	16.14
557.20	3131	10.02
558.25	3027	9.69
559.25	2534	8.11
560.10	2473	7.91
560.55	875	2.80
561.55	3045	9.74
562.30	465	1.49
562.75	1616	5.17
563.25	1972	6.31
564.60	2254	7.21
565.10	1767	5.65
566.85	449	1.44
567.50	1371	4.39
568.30	1068	3.42
569.05	1633	5.23
570.10	2034	6.51
571.25	900	2.88
571.70	246	0.79
572.15	199	0.64
573.35	448	1.43
573.80	111	0.36
574.40	1075	3.44
575.55	4822	15.43
576.45	575	1.84
577.45	4591	14.69
578.40	1768	5.66
579.40	1368	4.38
580.75	1609	5.15
581.50	2753	8.81
582.35	26	0.08
583.15	2869	9.18
584.35	5780	18.50
585.15	3623	11.59
586.45	204	0.65
587.30	915	2.93
588.60	491	1.57
589.20	532	1.70
589.60	943	3.02
590.10	859	2.75
590.60	1111	3.56
591.70	3325	10.64
592.30	1653	5.29
592.75	3013	9.64
593.40	1598	5.11
594.75	635	2.03
595.60	1478	4.73
596.40	204	0.65
597.15	1030	3.30
599.25	1478	4.73
599.65	1082	3.46
600.20	1768	5.66
600.90	60	0.19
601.85	210	0.67
602.45	183	0.59
603.05	61	0.20
603.55	18	0.06
604.00	57	0.18
604.55	660	2.11
605.45	1575	5.04
606.30	600	1.92
607.05	360	1.15
607.90	2317	7.41
608.80	502	1.61
609.45	3933	12.59
610.35	1253	4.01
611.50	1635	5.23
612.05	189	0.60
612.60	921	2.95
613.05	556	1.78
614.00	116	0.37
614.55	1142	3.65
615.45	1062	3.40
616.75	1030	3.30
618.20	969	3.10
619.40	1092	3.49
620.15	378	1.21
620.80	469	1.50
621.60	357	1.14
622.50	84	0.27
623.10	426	1.36
623.60	221	0.71
624.45	2366	7.57
625.45	4062	13.00
626.15	1593	5.10
627.20	997	3.19
627.60	1659	5.31
628.30	1194	3.82
628.75	537	1.72
629.40	888	2.84
630.35	1256	4.02
631.25	1706	5.46
632.40	782	2.50
633.50	919	2.94
634.10	414	1.32
635.35	2005	6.42
636.20	1323	4.23
636.80	903	2.89
637.20	441	1.41
637.85	364	1.16
638.85	2	0.01
639.80	3236	10.35
640.40	3027	9.69
641.50	947	3.03
642.25	2236	7.15
645.60	1065	3.41
647.40	4087	13.08
648.80	1358	4.35
649.50	3083	9.87
650.35	2	0.01
651.20	466	1.49
652.50	1522	4.87
653.20	166	0.53
653.75	291	0.93
654.40	785	2.51
656.25	1078	3.45
658.45	894	2.86
659.45	48	0.15
660.45	11	0.04
661.35	30	0.10
662.15	371	1.19
663.05	2425	7.76
663.50	955	3.06
664.75	435	1.39
665.50	2063	6.60
667.05	291	0.93
668.05	55	0.18
669.10	350	1.12
669.45	502	1.61
670.25	5302	16.97
671.40	2881	9.22
672.25	720	2.30
673.10	418	1.34
673.70	682	2.18
674.80	1368	4.38
675.40	2757	8.82
675.90	864	2.76
676.90	159	0.51
677.90	1442	4.61
678.50	1230	3.94
679.40	856	2.74
680.00	608	1.95
680.60	1097	3.51
681.05	2459	7.87
682.40	4844	15.50
683.55	1692	5.41
684.35	1803	5.77
684.90	928	2.97
685.35	712	2.28
686.00	453	1.45
686.75	17	0.05
687.65	515	1.65
688.05	589	1.88
689.05	270	0.86
689.85	1324	4.24
690.30	1361	4.36
690.95	32	0.10
691.80	57	0.18
692.15	47	0.15
692.85	1088	3.48
693.50	2900	9.28
694.30	1804	5.77
695.10	790	2.53
696.00	485	1.55
696.45	1692	5.41
697.30	1313	4.20
698.35	13804	44.17
699.35	6757	21.62
700.10	961	3.08
700.65	478	1.53
701.35	1303	4.17
702.75	1187	3.80
703.65	501	1.60
704.50	6489	20.76
705.20	6252	20.01
706.65	2912	9.32
707.15	3883	12.43
707.70	782	2.50
708.25	4144	13.26
709.10	7133	22.82
710.55	932	2.98
711.20	1424	4.56
712.40	4398	14.07
714.00	340	1.09
714.45	1610	5.15
715.20	460	1.47
715.95	497	1.59
716.50	1404	4.49
717.45	1205	3.86
718.10	467	1.49
719.10	1203	3.85
720.20	1164	3.72
720.95	11	0.04
