[MS Spectrum]
# of Peaks	681
Raw Spectrum	[7.035],(scan:[2815])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 460,088)
m/z	Absolute Intensity	Relative Intensity
717.25	5517	1.20
718.50	1163	0.25
719.45	15	0.00
722.30	201	0.04
722.95	215	0.05
724.10	565	0.12
724.55	224	0.05
725.65	558	0.12
726.25	829	0.18
727.25	513	0.11
728.40	613	0.13
729.80	1400	0.30
730.50	678	0.15
733.70	764	0.17
734.75	24	0.01
736.15	96	0.02
737.15	3	0.00
738.60	149	0.03
739.75	617	0.13
740.65	19	0.00
741.55	2104	0.46
742.65	717	0.16
743.25	927	0.20
743.70	1087	0.24
745.90	383	0.08
746.85	16	0.00
748.35	274	0.06
749.80	196	0.04
750.85	17	0.00
752.40	444	0.10
754.05	25	0.01
754.55	601	0.13
754.95	648	0.14
756.15	633	0.14
757.15	17	0.00
759.00	124	0.03
759.55	680	0.15
760.45	257	0.06
761.95	664	0.14
763.00	927	0.20
764.30	385	0.08
764.95	338	0.07
766.20	416	0.09
766.90	594	0.13
768.35	758	0.16
770.40	154	0.03
770.95	966	0.21
771.60	249	0.05
772.70	68	0.01
773.85	867	0.19
775.85	18	0.00
778.50	598	0.13
779.15	248	0.05
779.65	483	0.10
780.35	598	0.13
781.35	147	0.03
781.75	647	0.14
782.20	97	0.02
783.15	8	0.00
784.30	7713	1.68
785.25	4230	0.92
786.25	6	0.00
787.25	208	0.05
788.35	1151	0.25
789.60	1752	0.38
790.45	1091	0.24
791.00	416	0.09
791.60	158	0.03
792.20	372	0.08
793.35	1688	0.37
793.80	603	0.13
794.65	553	0.12
797.50	632	0.14
798.55	286	0.06
799.50	1577	0.34
Event	1
