[MS Spectrum]
# of Peaks	760
Raw Spectrum	[8.635],(scan:[3455])
Background	No Background Spectrum
Base Peak	m/z 502.15 (Inten : 138,599)
m/z	Absolute Intensity	Relative Intensity
614.40	928	0.67
615.00	280	0.20
615.95	20	0.01
617.20	477	0.34
618.45	1569	1.13
619.20	1850	1.33
620.05	539	0.39
620.85	1662	1.20
621.55	652	0.47
623.55	22	0.02
624.45	1869	1.35
625.00	8986	6.48
625.90	1278	0.92
627.40	1303	0.94
628.30	6593	4.76
628.90	3997	2.88
629.60	537	0.39
630.60	1459	1.05
631.85	1549	1.12
632.40	1397	1.01
633.35	191	0.14
634.35	3919	2.83
635.00	1383	1.00
635.50	834	0.60
635.85	266	0.19
636.65	1070	0.77
637.30	1758	1.27
638.25	2103	1.52
639.15	464	0.33
639.95	1037	0.75
640.95	378	0.27
642.25	777	0.56
643.55	323	0.23
644.90	618	0.45
645.75	4	0.00
646.60	696	0.50
647.55	2343	1.69
648.55	420	0.30
649.10	2403	1.73
649.65	246	0.18
650.30	201	0.15
650.75	170	0.12
651.85	75	0.05
652.30	148	0.11
653.10	2445	1.76
653.85	54	0.04
654.45	428	0.31
655.05	150	0.11
656.20	1418	1.02
657.40	538	0.39
657.95	651	0.47
658.45	1622	1.17
659.65	387	0.28
660.50	666	0.48
661.30	834	0.60
662.20	1083	0.78
663.45	672	0.48
664.00	697	0.50
665.05	397	0.29
665.80	1200	0.87
667.05	464	0.33
667.65	1764	1.27
668.10	163	0.12
670.45	3524	2.54
671.30	2645	1.91
672.45	1807	1.30
673.35	1503	1.08
674.50	2015	1.45
675.50	406	0.29
676.10	2160	1.56
677.05	13	0.01
678.15	2389	1.72
679.15	138	0.10
679.70	129	0.09
680.20	549	0.40
681.15	3516	2.54
681.60	1190	0.86
682.60	1390	1.00
683.50	430	0.31
684.40	996	0.72
685.45	1290	0.93
686.05	370	0.27
687.05	63	0.05
688.00	1204	0.87
688.60	394	0.28
690.40	658	0.47
690.75	670	0.48
691.25	518	0.37
692.25	29	0.02
693.25	814	0.59
694.25	7	0.01
695.25	743	0.54
697.20	701	0.51
698.30	8008	5.78
699.45	2836	2.05
700.30	3018	2.18
701.45	2590	1.87
702.10	333	0.24
703.25	812	0.59
704.20	4981	3.59
705.15	1348	0.97
705.65	2461	1.78
706.70	3253	2.35
707.65	294	0.21
708.45	4139	2.99
709.15	3486	2.52
709.95	1827	1.32
710.40	412	0.30
711.90	2365	1.71
712.65	47	0.03
713.40	650	0.47
714.50	782	0.56
715.60	95	0.07
716.25	3734	2.69
717.40	3076	2.22
718.50	2076	1.50
719.15	4	0.00
720.00	2325	1.68
720.90	634	0.46
721.60	3318	2.39
722.65	542	0.39
723.15	706	0.51
724.05	1874	1.35
725.00	1561	1.13
725.60	164	0.12
726.65	2752	1.99
727.50	1033	0.75
728.10	376	0.27
728.70	969	0.70
729.70	1224	0.88
730.55	531	0.38
731.25	1900	1.37
732.50	3825	2.76
733.50	1542	1.11
734.70	63	0.05
736.45	12	0.01
737.20	576	0.42
738.75	118	0.09
739.85	428	0.31
740.65	3	0.00
741.50	173	0.12
743.45	17	0.01
744.35	2057	1.48
745.35	65	0.05
746.55	925	0.67
747.65	1965	1.42
748.40	510	0.37
749.25	3513	2.53
750.05	880	0.63
751.50	1068	0.77
752.60	373	0.27
753.45	45	0.03
754.25	1740	1.26
755.15	2284	1.65
755.85	237	0.17
756.50	457	0.33
757.25	567	0.41
758.35	27	0.02
